year,svnr,sveitarfelag_source,sveitarfelag_harmonized,sveitarfelag_harmonization_status,sveitarfelag_harmonization_note,grunnskoli,grade_span,school_size_group,student_count,tekjur,laun_og_launtengd_gjold,annar_kostnadur_samtals,annar_kostnadur_an_innri_leigu_og_skolaakstur,innri_husaleiga_eignasjodur,skolaakstur,kostnadur_brutto,kostnadur_netto
2024,3000,Akraneskaupstaður,Akraneskaupstaður,unchanged,Already current for project joins.,Brekkubæjarskóli,1-10,401 - 500,471,-53587696,1019101031,208354664,107446690,100907974,,1227455695,1173867999
2024,3000,Akraneskaupstaður,Akraneskaupstaður,unchanged,Already current for project joins.,Grundaskóli,1-10,601 >,692,-71297872,1077510256,358850059,187169119,171680940,,1436360315,1365062443
2024,6000,Akureyrarbær,Akureyrarbær,unchanged,No project-local harmonization needed; carried forward as current/source name.,Brekkuskóli,1-10,401 - 500,434,-96182203,725777400,357785153,102755079,255030074,,1083562553,987380350
2024,6000,Akureyrarbær,Akureyrarbær,unchanged,No project-local harmonization needed; carried forward as current/source name.,Giljaskóli,1-10,301 - 400,393,-78686505,746588375,325909521,98357367,227552154,,1072497896,993811391
2024,6000,Akureyrarbær,Akureyrarbær,unchanged,No project-local harmonization needed; carried forward as current/source name.,Glerárskóli,1-10,301 - 400,312,-65261612,557203927,328622803,78115597,250507206,,885826730,820565118
2024,6000,Akureyrarbær,Akureyrarbær,unchanged,No project-local harmonization needed; carried forward as current/source name.,Hríseyjarskóli,1-10,0 - 20,14,-1223152,50336733,23201249,9680031,13521218,,73537982,72314830
2024,6000,Akureyrarbær,Akureyrarbær,unchanged,No project-local harmonization needed; carried forward as current/source name.,Lundarskóli,1-10,401 - 500,476,-77759788,674543208,390878124,95205634,295672490,,1065421332,987661544
2024,6000,Akureyrarbær,Akureyrarbær,unchanged,No project-local harmonization needed; carried forward as current/source name.,Naustaskóli,1-10,301 - 400,346,-89186299,680708589,375240898,81876440,293364458,,1055949487,966763188
2024,6000,Akureyrarbær,Akureyrarbær,unchanged,No project-local harmonization needed; carried forward as current/source name.,Oddeyrarskóli,1-10,101 - 200,173,-43547737,419644003,168313264,50171820,118141444,,587957267,544409530
2024,6000,Akureyrarbær,Akureyrarbær,unchanged,No project-local harmonization needed; carried forward as current/source name.,Síðuskóli,1-10,301 - 400,385,-81401793,815489276,307856013,95496049,212359964,,1123345289,1041943496
2024,8721,Bláskógabyggð,Bláskógabyggð,unchanged,Already current for project joins.,Bláskógaskóli á Laugarvatni,1-10,51 - 100,56,-7091330,194826345,106771566,63997440,24148798,18625328,301597911,294506581
2024,8721,Bláskógabyggð,Bláskógabyggð,unchanged,Already current for project joins.,Reykholtsskóli,1-10,51 - 100,97,-27517534,277448765,160478036,78211844,44603616,37662576,437926801,410409267
2024,4100,Bolungarvíkurkaupstaður,Bolungarvíkurkaupstaður,unchanged,No project-local harmonization needed; carried forward as current/source name.,Grunnskóli Bolungarvíkur,1-10,101 - 200,122,-26568388,374627814,90065726,60378302,29687424,,464693540,438125152
2024,3609,Borgarbyggð,Borgarbyggð,unchanged,Already current for project joins.,Grunnskóli Borgarfjarðarsveitar,1-10,101 - 200,172,-20730564,446258024,245736934,67823956,75401880,102511098,691994958,671264394
2024,3609,Borgarbyggð,Borgarbyggð,unchanged,Already current for project joins.,Grunnskólinn í Borgarnesi,1-10,301 - 400,335,-3910189,652397615,373651252,106584917,206574000,60492335,1026048867,1022138678
2024,3811,Dalabyggð,Dalabyggð,unchanged,Already current for project joins.,Auðarskóli,1-10,51 - 100,70,-16683138,197027616,138422762,41355107,38623800,58443855,335450378,318767240
2024,6400,Dalvíkurbyggð,Dalvíkurbyggð,unchanged,Already current for project joins.,Grunnskóli Dalvíkurbyggðar,1-10,201 - 300,232,-46643904,488603715,252483288,128303364,91912404,32267520,741087003,694443099
2024,6400,Dalvíkurbyggð,Dalvíkurbyggð,unchanged,Already current for project joins.,Árskógarskóli,1-7,0 - 20,13,-4863451,68019108,35624162,16765764,18858398,,103643270,98779819
2024,6513,Eyjafjarðarsveit,Eyjafjarðarsveit,unchanged,Already current for project joins.,Hrafnagilsskóli,1-10,101 - 200,178,-25253829,376093246,221260558,109309114,50693000,61258444,597353804,572099975
2024,6250,Fjallabyggð,Fjallabyggð,unchanged,Already current for project joins.,Grunnskóli Fjallabyggðar,1-10,201 - 300,223,-25653703,566458705,267912571,102271083,145400316,20241172,834371276,808717573
2024,7300,Fjarðabyggð,Fjarðabyggð,unchanged,Already current for project joins.,Grunnskóli Eskifjarðar,1-10,101 - 200,142,-3546753,309596360,181620299,70729403,110890896,,491216659,487669906
2024,7300,Fjarðabyggð,Fjarðabyggð,unchanged,Already current for project joins.,Grunnskóli Fáskrúðsfjarðar,1-10,101 - 200,105,-17247825,218993666,188883280,64577128,124306152,,407876946,390629121
2024,7300,Fjarðabyggð,Fjarðabyggð,unchanged,Already current for project joins.,Grunnskóli Reyðarfjarðar,1-10,201 - 300,204,-5526858,397217723,199503941,79246997,120256944,,596721664,591194806
2024,7300,Fjarðabyggð,Fjarðabyggð,unchanged,Already current for project joins.,Grunnskólinn á Stöðvarfirði,1-10,21 - 50,29,-6656839,125237971,86926014,39854202,47071812,,212163985,205507146
2024,7300,Fjarðabyggð,Fjarðabyggð,unchanged,Already current for project joins.,Nesskóli,1-10,101 - 200,197,-8124969,381774681,200039254,98634346,101404908,,581813935,573688966
2024,8722,Flóahreppur,Flóahreppur,unchanged,Already current for project joins.,Flóaskóli,1-10,101 - 200,109,-39345608,300809382,151681937,47546870,52979244,51155823,452491319,413145711
2024,1300,Garðabær,Garðabær,unchanged,Already current for project joins.,Flataskóli,1-7,301 - 400,301,-7210951,649294658,293674416,97729152,195945264,,942969074,935758123
2024,1300,Garðabær,Garðabær,unchanged,Already current for project joins.,Garðaskóli,8-10,601 >,621,-64225,911506070,362265319,161390527,200874792,,1273771389,1273707164
2024,1300,Garðabær,Garðabær,unchanged,Already current for project joins.,Hofsstaðaskóli,1-7,401 - 500,477,-5898455,827587665,346232910,134198910,212034000,,1173820575,1167922120
2024,1300,Garðabær,Garðabær,unchanged,Already current for project joins.,Sjálandsskóli,1-10,201 - 300,271,-14311509,622247815,249255705,92987337,156268368,,871503520,857192011
2024,1300,Garðabær,Garðabær,unchanged,Already current for project joins.,Urriðaholtsskóli,1-7,301 - 400,361,-1401415,629978170,264412131,114336171,150075960,,894390301,892988886
2024,1300,Garðabær,Garðabær,unchanged,Already current for project joins.,Álftanesskóli,1-10,301 - 400,369,-7383038,659623566,370851906,101368386,269483520,,1030475472,1023092434
2024,3709,Grundarfjarðarbær,Grundarfjarðarbær,unchanged,Already current for project joins.,Grunnskóli Grundarfjarðar,1-10,101 - 200,113,-18674731,256329404,111693634,52530077,55098327,4065230,368023038,349348307
2024,8719,Grímsnes- og Grafningshreppur,Grímsnes- og Grafningshreppur,unchanged,No project-local harmonization needed; carried forward as current/source name.,Kerhólsskóli,1-10,51 - 100,55,-1696445,227810288,173148896,84501914,50621487,38025495,400959184,399262739
2024,6602,Grýtubakkahreppur,Grýtubakkahreppur,unchanged,Already current for project joins.,Grenivíkurskóli,1-10,21 - 50,48,-6942064,156725978,57032008,26095304,26090000,4846704,213757986,206815922
2024,1400,Hafnarfjarðarkaupstaður,Hafnarfjarðarkaupstaður,unchanged,Already current for project joins.,Engidalsskóli,1-7,101 - 200,195,-3979060,446531603,181390363,91791931,89598432,,627921966,623942906
2024,1400,Hafnarfjarðarkaupstaður,Hafnarfjarðarkaupstaður,unchanged,Already current for project joins.,Hraunvallaskóli,1-10,501 - 600,526,-55564080,1101525638,550172384,316627352,233545032,,1651698022,1596133942
2024,1400,Hafnarfjarðarkaupstaður,Hafnarfjarðarkaupstaður,unchanged,Already current for project joins.,Hvaleyrarskóli,1-10,301 - 400,368,-64014504,785011768,366095194,213705790,152389404,,1151106962,1087092458
2024,1400,Hafnarfjarðarkaupstaður,Hafnarfjarðarkaupstaður,unchanged,Already current for project joins.,Lækjarskóli,1-10,401 - 500,416,-70620292,789000027,637244887,253443923,383800964,,1426244914,1355624622
2024,1400,Hafnarfjarðarkaupstaður,Hafnarfjarðarkaupstaður,unchanged,Already current for project joins.,Setbergsskóli,1-10,401 - 500,424,-56748637,789462305,376219908,209196192,167023716,,1165682213,1108933576
2024,1400,Hafnarfjarðarkaupstaður,Hafnarfjarðarkaupstaður,unchanged,Already current for project joins.,Skarðshlíðarskóli,1-9,401 - 500,460,-47267655,905731230,417933354,213896766,204036588,,1323664584,1276396929
2024,1400,Hafnarfjarðarkaupstaður,Hafnarfjarðarkaupstaður,unchanged,Already current for project joins.,Víðistaðaskóli,1-10,501 - 600,505,-68327528,879970240,412108496,198330380,213778116,,1292078736,1223751208
2024,1400,Hafnarfjarðarkaupstaður,Hafnarfjarðarkaupstaður,unchanged,Already current for project joins.,Áslandsskóli,1-10,401 - 500,440,-58865003,767572806,548037613,542784493,5253120,,1315610419,1256745416
2024,1400,Hafnarfjarðarkaupstaður,Hafnarfjarðarkaupstaður,unchanged,Already current for project joins.,Öldutúnsskóli,1-10,601 >,627,-1051389,978879689,446074696,285299524,160775172,,1424954385,1423902996
2024,8710,Hrunamannahreppur,Hrunamannahreppur,unchanged,Already current for project joins.,Flúðaskóli,1-10,51 - 100,90,-96025963,258632559,123965176,61996548,38398830,23569798,382597735,286571772
2024,3511,Hvalfjarðarsveit,Hvalfjarðarsveit,unchanged,Already current for project joins.,Heiðarskóli,1-10,51 - 100,91,-30156221,276859210,168601129,61236736,65602848,41761545,445460339,415304118
2024,8716,Hveragerðisbær,Hveragerðisbær,unchanged,Already current for project joins.,Grunnskólinn í Hveragerði,1-10,401 - 500,455,-140093270,747402538,331047105,152764105,178283000,,1078449643,938356373
2024,6515,Hörgársveit,Hörgársveit,unchanged,Already current for project joins.,Þelamerkurskóli,1-10,51 - 100,95,-27514725,267565597,135587862,53185325,47539872,34862665,403153459,375638734
2024,5613,Húnabyggð,Húnabyggð,unchanged,Already current for project joins.,Húnaskóli,1-10,101 - 200,183,-4011494,372255427,180333920,27262976,78631618,74439326,552589347,548577853
2024,5508,Húnaþing vestra,Húnaþing vestra,unchanged,Already current for project joins.,Grunnskóli Hunaþing vestra,1-10,101 - 200,123,-29313589,335259867,242309862,109666865,76810740,55832257,577569729,548256140
2024,4902,Kaldrananeshreppur,Kaldrananeshreppur,unchanged,Already current for project joins.,Grunnskólinn á Drangsnesi,1-10,0 - 20,10,-259165,50835038,23691127,7797892,8656000,7237235,74526165,74267000
2024,1000,Kópavogsbær,Kópavogsbær,unchanged,Already current for project joins.,Hörðuvallaskóli,1-10,501 - 600,526,-72996345,979403033,756005575,183244243,572761332,,1735408608,1662412263
2024,1000,Kópavogsbær,Kópavogsbær,unchanged,Already current for project joins.,Kársnesskóli,1-10,601 >,674,-74086818,1114570246,384699087,171668319,213030768,,1499269333,1425182515
2024,1000,Kópavogsbær,Kópavogsbær,unchanged,Already current for project joins.,Kópavogsskóli,1-10,401 - 500,405,-37837958,824236974,219760753,109592449,110168304,,1043997727,1006159769
2024,1000,Kópavogsbær,Kópavogsbær,unchanged,Already current for project joins.,Lindaskóli,1-10,401 - 500,460,-64482362,806265201,323797667,145503551,178294116,,1130062868,1065580506
2024,1000,Kópavogsbær,Kópavogsbær,unchanged,Already current for project joins.,Salaskóli,1-10,501 - 600,521,-59001066,1070766201,379740868,161559820,218181048,,1450507069,1391506003
2024,1000,Kópavogsbær,Kópavogsbær,unchanged,Already current for project joins.,Smáraskóli,1-10,501 - 600,506,-24347046,838478843,325346951,162848063,162498888,,1163825794,1139478748
2024,1000,Kópavogsbær,Kópavogsbær,unchanged,Already current for project joins.,Snælandsskóli,1-10,401 - 500,451,-51784330,801722235,283396137,144858909,138537228,,1085118372,1033334042
2024,1000,Kópavogsbær,Kópavogsbær,unchanged,Already current for project joins.,Vatnsendaskóli,1-10,501 - 600,555,-56330379,909169944,496509772,179231656,317278116,,1405679716,1349349337
2024,1000,Kópavogsbær,Kópavogsbær,unchanged,Already current for project joins.,Álfhólsskóli,1-10,501 - 600,577,-103967059,1291688083,450226897,190627801,259599096,,1741914980,1637947921
2024,6710,Langanesbyggð,Langanesbyggð,unchanged,Already current for project joins.,Grunnskólinn á Þórshöfn,1-10,51 - 100,55,-102927,147712766,67643759,18850007,48793752,,215356525,215253598
2024,1604,Mosfellsbær,Mosfellsbær,unchanged,Already current for project joins.,Helgafellsskóli,1-7,401 - 500,419,-70532700,889883193,527781269,137179664,390601605,,1417664462,1347131762
2024,1604,Mosfellsbær,Mosfellsbær,unchanged,Already current for project joins.,Krikaskóli,1-4,51 - 100,94,-39454591,253586745,116258252,35998610,80259642,,369844997,330390406
2024,1604,Mosfellsbær,Mosfellsbær,unchanged,Already current for project joins.,Kvíslarskóli,7-10,301 - 400,359,-16360115,619959391,224107029,150510969,73596060,,844066420,827706305
2024,1604,Mosfellsbær,Mosfellsbær,unchanged,Already current for project joins.,Lágafellsskóli,1-10,501 - 600,576,-36605836,991813577,507649012,210252064,297396948,,1499462589,1462856753
2024,1604,Mosfellsbær,Mosfellsbær,unchanged,Already current for project joins.,Varmárskóli,1-6,401 - 500,406,-22891184,701213327,410686890,150449394,260237496,,1111900217,1089009033
2024,7400,Múlaþing,Múlaþing,unchanged,Already current for project joins.,Brúarásskóli,1-10,21 - 50,40,-5041796,147597510,64568354,23757579,39821600,989175,212165864,207124068
2024,7400,Múlaþing,Múlaþing,unchanged,Already current for project joins.,Djúpavogsskóli,1-10,51 - 100,75,-15324966,251307633,69899065,44736733,24525696,636636,321206698,305881732
2024,7400,Múlaþing,Múlaþing,unchanged,Already current for project joins.,"Fellaskóli, Múlaþ.",1-10,51 - 100,92,-2951144,226757004,89563197,18322465,69720732,1520000,316320201,313369057
2024,7400,Múlaþing,Múlaþing,unchanged,Already current for project joins.,Grunnsk. Egilsst. og Eiðum,1-10,401 - 500,425,-27592420,956733314,371290507,104768127,262826380,3696000,1328023821,1300431401
2024,7400,Múlaþing,Múlaþing,unchanged,Already current for project joins.,Seyðisfjarðarskóli,1-10,51 - 100,53,-3906873,178862685,56599674,21192314,34865360,542000,235462359,231555486
2024,8508,Mýrdalshreppur,Mýrdalshreppur,unchanged,Already current for project joins.,Grunnskóli Mýrdalshrepps,1-10,51 - 100,64,-6472855,194523202,65734867,29348368,19505496,16881003,260258069,253785214
2024,6100,Norðurþing,Norðurþing,unchanged,Already current for project joins.,Borgarhólsskóli,1-10,201 - 300,284,-7882352,632958391,136541702,64141154,64265124,8135424,769500093,761617741
2024,6100,Norðurþing,Norðurþing,unchanged,Already current for project joins.,Grunnskóli Raufarhafnar,1-10,0 - 20,7,-858729,34390651,29451300,17475173,10654548,1321579,63841951,62983222
2024,6100,Norðurþing,Norðurþing,unchanged,Already current for project joins.,Öxarfjarðarskóli,1-10,21 - 50,35,-6257028,107962722,61792605,20948649,16854804,23989152,169755327,163498299
2024,8613,Rangárþing eystra,Rangárþing eystra,unchanged,Already current for project joins.,Hvolsskóli,1-10,201 - 300,225,-26075532,602229250,262958351,87231690,104434176,71292485,865187601,839112069
