source_school_name,canonical_school_name,sveitarfelag_harmonized,sveitarfelag_source,mapping_priority,match_status,match_confidence,match_source,graduate_count,average_grunnskoli_icelandic_grade,average_grunnskoli_math_grade,framhaldsskoli_grunnskoli_row_count,framhaldsskoli_grunnskoli_student_count,has_graduates_table_row,has_grades_by_grunnskoli_row,has_framhaldsskoli_grunnskoli_rows,is_excluded_group_or_aggregate,notes,source_url,source_note
Nesskóli,Nesskóli,Fjarðabyggð,Fjarðabyggð,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,10,2.8,2.4,1,8,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Njarðvíkurskóli,Njarðvíkurskóli,Reykjanesbær,Reykjanesbær,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,21,3.2,2.9,1,15,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Norðlingaskóli,Norðlingaskóli,Reykjavíkurborg,Reykjavíkurborg,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,34,3.2,3.4,2,20,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
NÚ - framsýn menntun,NÚ / Framsýn menntun,Hafnarfjarðarkaupstaður,Hafnarfjarðarkaupstaður,analysis_required,matched_manual,1.000,data/manual/manual_school_crosswalk.csv,5,3.9,3.5,0,,true,true,false,false,Same entity as Framsýn menntun ehf.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Oddeyrarskóli,Oddeyrarskóli,Akureyrarbær,Akureyrarkaupstaður,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,11,3.1,3.0,1,6,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Patreksskóli,Patreksskóli,Vesturbyggð,Vesturbyggð,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,4,,,0,,true,false,false,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Reykhólaskóli,Reykhólaskóli,Reykhólahreppur,Reykhólahreppur,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,2,,,0,,true,false,false,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Reykjahlíðarskóli,Reykjahlíðarskóli,Þingeyjarsveit,Skútustaðahreppur,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,2,,,0,,true,false,false,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Rimaskóli,Rimaskóli,Reykjavíkurborg,Reykjavíkurborg,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,29,3.3,3.2,2,14,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Réttarholtsskóli,Réttarholtsskóli,Reykjavíkurborg,Reykjavíkurborg,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,105,3.2,3.5,7,93,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Salaskóli,Salaskóli,Kópavogsbær,Kópavogsbær,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,45,3.3,3.4,5,33,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Sandgerðisskóli,Grunnskólinn í Sandgerði / Sandgerðisskóli,Suðurnesjabær,Suðurnesjabær,analysis_required,matched_manual,1.000,data/manual/manual_school_crosswalk.csv,6,3.6,3.9,1,6,true,true,true,false,Current municipality harmonized to Suðurnesjabær.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Seljaskóli,Seljaskóli,Reykjavíkurborg,Reykjavíkurborg,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,32,3.2,2.8,2,11,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Setbergsskóli,Setbergsskóli,Hafnarfjarðarkaupstaður,Hafnarfjarðarkaupstaður,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,19,3.1,3.3,0,,true,true,false,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Seyðisfjarðarskóli,Seyðisfjarðarskóli,Múlaþing,Seyðisfjarðarkaupstaður,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,4,,,0,,true,false,false,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Sjálandsskóli,Sjálandsskóli,Garðabær,Garðabær,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,16,2.9,2.8,0,,true,true,false,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Smáraskóli,Smáraskóli,Kópavogsbær,Kópavogsbær,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,24,3.1,3.2,1,10,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Snælandsskóli,Snælandsskóli,Kópavogsbær,Kópavogsbær,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,23,3.6,3.5,1,8,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Stóru-Vogaskóli,Stóru-Vogaskóli,Sveitarfélagið Vogar,Sveitarfélagið Vogar,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,7,2.6,2.8,0,,true,true,false,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Stórutjarnaskóli,Stórutjarnaskóli,Þingeyjarsveit,Þingeyjarsveit,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,1,,,0,,true,false,false,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Stöðvarfjarðarskóli,Breiðdals- og Stöðvarfjarðarskóli,Fjarðabyggð,Fjarðabyggð,analysis_required,matched_manual,1.000,data/manual/manual_school_crosswalk.csv,4,,,0,,true,false,false,false,Stöðvarfjörður school/site.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Sunnulækjarskóli,Sunnulækjarskóli,Sveitarfélagið Árborg,Sveitarfélagið Árborg,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,41,3.1,2.8,2,35,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Suðurhlíðarskóli,Suðurhlíðaskóli,Reykjavíkurborg,Reykjavíkurborg,analysis_required,matched_fuzzy_high_confidence,0.968,samband_grunnskolar_excel,1,,,0,,true,false,false,false,High-confidence fuzzy normalized match; review optional.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Sæmundarskóli,Sæmundarskóli,Reykjavíkurborg,Reykjavíkurborg,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,41,3.2,3.1,2,18,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Síðuskóli,Síðuskóli,Akureyrarbær,Akureyrarkaupstaður,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,26,3.1,2.8,2,21,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Súðavíkurskóli,Súðavíkurskóli,Súðavíkurhreppur,Súðavík,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,1,,,0,,true,false,false,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Tjarnarskóli,Tjarnarskóli,Reykjavíkurborg,Reykjavíkurborg,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,8,3.6,3.4,1,5,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Tálknafjarðarskóli,Tálknafjarðarskóli,Vesturbyggð,Tálknafjarðarhreppur,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,5,2.8,2.1,0,,true,true,false,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Vallaskóli,Vallaskóli,Sveitarfélagið Árborg,Sveitarfélagið Árborg,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,34,3.0,2.7,1,26,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Valsárskóli,Valsárskóli,Svalbarðsstrandarhreppur,Svalbarðsstrandarhreppur,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,1,,,0,,true,false,false,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Varmahlíðarskóli,Varmahlíðaskóli,Skagafjörður,Sveitarfélagið Skagafjörður,analysis_required,matched_fuzzy_high_confidence,0.968,samband_grunnskolar_excel,5,2.4,2.6,0,,true,true,false,false,High-confidence fuzzy normalized match; review optional.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Varmárskóli,Varmárskóli,Mosfellsbær,Mosfellsbær,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,52,3.1,3.1,4,33,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Vatnsendaskóli,Vatnsendaskóli,Kópavogsbær,Kópavogsbær,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,36,3.1,3.2,3,22,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Vogaskóli,Vogaskóli,Reykjavíkurborg,Reykjavíkurborg,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,16,3.5,3.3,1,5,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Vopnafjarðarskóli,Vopnafjarðarskóli,Vopnafjarðarhreppur,Vopnafjarðarhreppur,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,7,3.4,3.4,0,,true,true,false,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Vættaskóli - Engi,Vættaskóli - Engi,Reykjavíkurborg,Reykjavíkurborg,analysis_required,matched_manual,1.000,data/manual/manual_school_crosswalk.csv,12,2.8,2.5,1,5,true,true,true,false,Reykjavík school site.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Víkurskóli,Víkurskóli,Reykjavíkurborg,Reykjavíkurborg,analysis_required,matched_manual,1.000,data/manual/manual_school_crosswalk.csv,29,3.5,3.6,2,16,true,true,true,false,"The PDF has a separate “Víkurskóli, Vík í Mýrdal” row, so the plain Víkurskóli row should map to Reykjavíkurborg.",https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
"Víkurskóli, Vík í Mýrdal",,Mýrdalshreppur,Mýrdalshreppur,analysis_required,matched_municipality_rule_canonical_uncertain,,municipality_location_hint,2,,,0,,true,false,false,false,Sveitarfelag assigned from explicit location signal in source name; canonical school remains uncertain.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Víðistaðaskóli,Víðistaðaskóli,Hafnarfjarðarkaupstaður,Hafnarfjarðarkaupstaður,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,41,3.7,3.5,3,24,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Waldorfskólinn Sólstafir,Waldorfskólinn Sólstafir,Reykjavíkurborg,Reykjavíkurborg,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,4,,,0,,true,false,false,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Waldorfskólinn í Lækjarbotnum,Waldorfskólinn Lækjarbotnum,Kópavogsbær,Kópavogsbær,analysis_required,matched_fuzzy_high_confidence,0.966,samband_grunnskolar_excel,5,3.0,3.3,0,,true,true,false,false,High-confidence fuzzy normalized match; review optional.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Álfhólsskóli,Álfhólsskóli,Kópavogsbær,Kópavogsbær,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,27,3.3,3.4,1,5,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Álftamýrarskóli,Álftamýrarskóli,Reykjavíkurborg,Reykjavíkurborg,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,9,3.1,3.6,0,,true,true,false,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Álftanesskóli,Álftanesskóli,Garðabær,Garðabær,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,30,3.3,3.1,3,23,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Árbæjarskóli,Árbæjarskóli,Reykjavíkurborg,Reykjavíkurborg,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,63,3.3,3.2,4,46,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Árskóli,Árskóli,Skagafjörður,Sveitarfélagið Skagafjörður,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,30,3.2,3.2,1,28,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Áslandsskóli,Áslandsskóli,Hafnarfjarðarkaupstaður,Hafnarfjarðarkaupstaður,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,31,3.4,3.6,2,22,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Ölduselsskóli,Ölduselsskóli,Reykjavíkurborg,Reykjavíkurborg,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,23,3.4,3.6,2,11,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Öldutúnsskóli,Öldutúnsskóli,Hafnarfjarðarkaupstaður,Hafnarfjarðarkaupstaður,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,26,3.0,3.0,2,14,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Þelamerkurskóli,Þelamerkurskóli,Hörgársveit,Hörgársveit,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,3,,,0,,true,false,false,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
