sveitarfelag_harmonized,reading_measurement_period,reading_metric,strict_latest_reading_school_year,strict_latest_reading_value_pct,strict_latest_reading_component_count,strict_latest_reading_nonmissing_component_count,strict_latest_reading_aggregation_method,strict_latest_reading_note,latest_available_reading_school_year,latest_available_reading_value_pct,latest_available_reading_component_count,latest_available_reading_nonmissing_component_count,latest_available_reading_aggregation_method,latest_available_reading_note,latest_reading_school_year,latest_reading_value_pct,spending_year,primary_spending_metric,amount_isk,spend_per_source_student,spend_per_resident,spend_per_resident_age_6_15,population_total,population_age_6_15,denominator_source_student_count,kostnadur_netto_amount_isk,kostnadur_netto_spend_per_source_student,kostnadur_netto_spend_per_resident,kostnadur_netto_spend_per_resident_age_6_15,kostnadur_brutto_amount_isk,kostnadur_brutto_spend_per_source_student,kostnadur_brutto_spend_per_resident,kostnadur_brutto_spend_per_resident_age_6_15,has_strict_latest_reading,has_latest_available_reading,has_latest_reading,has_2024_spending_kostnadur_netto,has_2024_spending_kostnadur_brutto,has_2024_population_denominator,reading_source_url,spending_source_url,source_note
Mosfellsbær,vor,naer_lagmarksvidmidi_2_3,2024-2025,84.0,1,1,direct_source_municipality_value,Direct source municipality value for Mosfellsbær.,2024-2025,84.0,1,1,direct_source_municipality_value,Direct source municipality value for Mosfellsbær.,2024-2025,84.0,2024,kostnadur_netto,5057094259,2727666.81,377310.62,2699996.93,13403,1873,1854,5057094259,2727666.81,377310.62,2699996.93,5242938685,2827906.52,391176.5,2799219.8,true,true,true,true,true,true,reading_tests_sveitarfelag_harmonized.csv,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,"Reading fields use vor naer_lagmarksvidmidi_2_3 with explicit source-component aggregation. Latest_available uses the latest non-missing year per municipality. Spending is 2024 Samband municipality-level grunnskóli spending; population_age_6_15 is a population proxy, not exact school enrollment."
Múlaþing,vor,naer_lagmarksvidmidi_2_3,2024-2025,79.0,3,1,single_available_component,Partial current-municipality coverage: used Fljótsdalshérað because other source components were missing. Components: Djúpavogshreppur; Fljótsdalshérað; Seyðisfjarðarkaupstaður.,2024-2025,79.0,3,1,single_available_component,Partial current-municipality coverage: used Fljótsdalshérað because other source components were missing. Components: Djúpavogshreppur; Fljótsdalshérað; Seyðisfjarðarkaupstaður.,2024-2025,79.0,2024,kostnadur_netto,2358361744,3442863.86,455546.02,3432840.97,5177,687,685,2358361744,3442863.86,455546.02,3432840.97,2413178943,3522888.97,466134.62,3512633.1,true,true,true,true,true,true,reading_tests_sveitarfelag_harmonized.csv,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,"Reading fields use vor naer_lagmarksvidmidi_2_3 with explicit source-component aggregation. Latest_available uses the latest non-missing year per municipality. Spending is 2024 Samband municipality-level grunnskóli spending; population_age_6_15 is a population proxy, not exact school enrollment."
Mýrdalshreppur,vor,naer_lagmarksvidmidi_2_3,2024-2025,75.0,1,1,direct_source_municipality_value,Direct source municipality value for Mýrdalshreppur.,2024-2025,75.0,1,1,direct_source_municipality_value,Direct source municipality value for Mýrdalshreppur.,2024-2025,75.0,2024,kostnadur_netto,253785214,3965393.97,288064.94,4531878.82,881,56,64,253785214,3965393.97,288064.94,4531878.82,260258069,4066532.33,295412.11,4647465.52,true,true,true,true,true,true,reading_tests_sveitarfelag_harmonized.csv,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,"Reading fields use vor naer_lagmarksvidmidi_2_3 with explicit source-component aggregation. Latest_available uses the latest non-missing year per municipality. Spending is 2024 Samband municipality-level grunnskóli spending; population_age_6_15 is a population proxy, not exact school enrollment."
Norðurþing,vor,naer_lagmarksvidmidi_2_3,2024-2025,80.0,1,1,direct_source_municipality_value,Direct source municipality value for Norðurþing.,2024-2025,80.0,1,1,direct_source_municipality_value,Direct source municipality value for Norðurþing.,2024-2025,80.0,2024,kostnadur_netto,988099262,3030979.33,320707.32,3012497.75,3081,328,326,988099262,3030979.33,320707.32,3012497.75,1003097371,3076985.8,325575.26,3058223.69,true,true,true,true,true,true,reading_tests_sveitarfelag_harmonized.csv,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,"Reading fields use vor naer_lagmarksvidmidi_2_3 with explicit source-component aggregation. Latest_available uses the latest non-missing year per municipality. Spending is 2024 Samband municipality-level grunnskóli spending; population_age_6_15 is a population proxy, not exact school enrollment."
Rangárþing eystra,vor,naer_lagmarksvidmidi_2_3,2024-2025,69.0,1,1,direct_source_municipality_value,Direct source municipality value for Rangárþing eystra.,2024-2025,69.0,1,1,direct_source_municipality_value,Direct source municipality value for Rangárþing eystra.,2024-2025,69.0,2024,kostnadur_netto,839112069,3729386.97,418092.71,4014890.28,2007,209,225,839112069,3729386.97,418092.71,4014890.28,865187601,3845278.23,431085.0,4139653.59,true,true,true,true,true,true,reading_tests_sveitarfelag_harmonized.csv,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,"Reading fields use vor naer_lagmarksvidmidi_2_3 with explicit source-component aggregation. Latest_available uses the latest non-missing year per municipality. Spending is 2024 Samband municipality-level grunnskóli spending; population_age_6_15 is a population proxy, not exact school enrollment."
Rangárþing ytra,vor,naer_lagmarksvidmidi_2_3,2024-2025,66.0,1,1,direct_source_municipality_value,Direct source municipality value for Rangárþing ytra.,2024-2025,66.0,1,1,direct_source_municipality_value,Direct source municipality value for Rangárþing ytra.,2024-2025,66.0,2024,kostnadur_netto,887570824,3263128.03,475399.48,4226527.73,1867,210,272,887570824,3263128.03,475399.48,4226527.73,976589495,3590402.56,523079.54,4650426.17,true,true,true,true,true,true,reading_tests_sveitarfelag_harmonized.csv,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,"Reading fields use vor naer_lagmarksvidmidi_2_3 with explicit source-component aggregation. Latest_available uses the latest non-missing year per municipality. Spending is 2024 Samband municipality-level grunnskóli spending; population_age_6_15 is a population proxy, not exact school enrollment."
Reykhólahreppur,vor,naer_lagmarksvidmidi_2_3,,,,,,,,,,,,,,,2024,kostnadur_netto,163160958,4798851.71,691359.99,5438698.6,236,30,34,163160958,4798851.71,691359.99,5438698.6,226534934,6662792.18,959893.79,7551164.47,false,false,false,true,true,true,,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,"Reading fields use vor naer_lagmarksvidmidi_2_3 with explicit source-component aggregation. Latest_available uses the latest non-missing year per municipality. Spending is 2024 Samband municipality-level grunnskóli spending; population_age_6_15 is a population proxy, not exact school enrollment."
Reykjanesbær,vor,naer_lagmarksvidmidi_2_3,2024-2025,71.0,1,1,direct_source_municipality_value,Direct source municipality value for Reykjanesbær.,2024-2025,71.0,1,1,direct_source_municipality_value,Direct source municipality value for Reykjanesbær.,2024-2025,71.0,2024,kostnadur_netto,7522089731,2679761.22,342582.76,2798396.48,21957,2688,2807,7522089731,2679761.22,342582.76,2798396.48,7744001203,2758817.67,352689.4,2880952.83,true,true,true,true,true,true,reading_tests_sveitarfelag_harmonized.csv,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,"Reading fields use vor naer_lagmarksvidmidi_2_3 with explicit source-component aggregation. Latest_available uses the latest non-missing year per municipality. Spending is 2024 Samband municipality-level grunnskóli spending; population_age_6_15 is a population proxy, not exact school enrollment."
Reykjavíkurborg,vor,naer_lagmarksvidmidi_2_3,2024-2025,80.0,1,1,direct_source_municipality_value,Direct source municipality value for Reykjavíkurborg.,2024-2025,80.0,1,1,direct_source_municipality_value,Direct source municipality value for Reykjavíkurborg.,2024-2025,80.0,2024,kostnadur_netto,36945032872,2552686.58,269880.59,2352737.24,136894,15703,14473,36945032872,2552686.58,269880.59,2352737.24,38281896137,2645056.04,279646.27,2437871.5,true,true,true,true,true,true,reading_tests_sveitarfelag_harmonized.csv,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,"Reading fields use vor naer_lagmarksvidmidi_2_3 with explicit source-component aggregation. Latest_available uses the latest non-missing year per municipality. Spending is 2024 Samband municipality-level grunnskóli spending; population_age_6_15 is a population proxy, not exact school enrollment."
Seltjarnarnesbær,vor,naer_lagmarksvidmidi_2_3,2024-2025,93.0,1,1,direct_source_municipality_value,Direct source municipality value for Seltjarnarnesbær.,2024-2025,93.0,1,1,direct_source_municipality_value,Direct source municipality value for Seltjarnarnesbær.,2024-2025,93.0,2024,kostnadur_netto,1480916705,2535816.28,323910.04,2288897.53,4572,647,584,1480916705,2535816.28,323910.04,2288897.53,1492070901,2554915.93,326349.72,2306137.4,true,true,true,true,true,true,reading_tests_sveitarfelag_harmonized.csv,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,"Reading fields use vor naer_lagmarksvidmidi_2_3 with explicit source-component aggregation. Latest_available uses the latest non-missing year per municipality. Spending is 2024 Samband municipality-level grunnskóli spending; population_age_6_15 is a population proxy, not exact school enrollment."
Skagafjörður,vor,naer_lagmarksvidmidi_2_3,2024-2025,79.0,1,1,direct_source_municipality_value,Direct source municipality value for Sveitarfélagið Skagafjörður.,2024-2025,79.0,1,1,direct_source_municipality_value,Direct source municipality value for Sveitarfélagið Skagafjörður.,2024-2025,79.0,2024,kostnadur_netto,1921089781,3448994.22,449272.63,3524935.38,4276,545,557,1921089781,3448994.22,449272.63,3524935.38,2018076691,3623117.94,471954.32,3702893.01,true,true,true,true,true,true,reading_tests_sveitarfelag_harmonized.csv,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,"Reading fields use vor naer_lagmarksvidmidi_2_3 with explicit source-component aggregation. Latest_available uses the latest non-missing year per municipality. Spending is 2024 Samband municipality-level grunnskóli spending; population_age_6_15 is a population proxy, not exact school enrollment."
Skeiða- og Gnúpverjahreppur,vor,naer_lagmarksvidmidi_2_3,,,,,,,,,,,,,,,2024,kostnadur_netto,322916263,6209928.13,546389.62,4967942.51,591,65,52,322916263,6209928.13,546389.62,4967942.51,327684076,6301616.85,554456.98,5041293.48,false,false,false,true,true,true,,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,"Reading fields use vor naer_lagmarksvidmidi_2_3 with explicit source-component aggregation. Latest_available uses the latest non-missing year per municipality. Spending is 2024 Samband municipality-level grunnskóli spending; population_age_6_15 is a population proxy, not exact school enrollment."
Snæfellsbær,vor,naer_lagmarksvidmidi_2_3,2024-2025,82.0,1,1,direct_source_municipality_value,Direct source municipality value for Snæfellsbær.,2024-2025,82.0,1,1,direct_source_municipality_value,Direct source municipality value for Snæfellsbær.,2024-2025,82.0,2024,kostnadur_netto,772542625,3527591.89,477762.91,3786973.65,1617,204,219,772542625,3527591.89,477762.91,3786973.65,794723815,3628875.87,491480.41,3895704.98,true,true,true,true,true,true,reading_tests_sveitarfelag_harmonized.csv,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,"Reading fields use vor naer_lagmarksvidmidi_2_3 with explicit source-component aggregation. Latest_available uses the latest non-missing year per municipality. Spending is 2024 Samband municipality-level grunnskóli spending; population_age_6_15 is a population proxy, not exact school enrollment."
Strandabyggð,vor,naer_lagmarksvidmidi_2_3,,,,,,,,,,,,,,,2024,kostnadur_netto,159670949,4201867.08,385678.62,3894413.39,414,41,38,159670949,4201867.08,385678.62,3894413.39,165835557,4364093.61,400568.98,4044769.68,false,false,false,true,true,true,,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,"Reading fields use vor naer_lagmarksvidmidi_2_3 with explicit source-component aggregation. Latest_available uses the latest non-missing year per municipality. Spending is 2024 Samband municipality-level grunnskóli spending; population_age_6_15 is a population proxy, not exact school enrollment."
Suðurnesjabær,vor,naer_lagmarksvidmidi_2_3,2024-2025,66.0,1,1,direct_source_municipality_value,Direct source municipality value for Suðurnesjabær.,2024-2025,66.0,1,1,direct_source_municipality_value,Direct source municipality value for Suðurnesjabær.,2024-2025,66.0,2024,kostnadur_netto,1705151740,3055827.49,437554.98,3111590.77,3897,548,558,1705151740,3055827.49,437554.98,3111590.77,1713320279,3070466.45,439651.09,3126496.86,true,true,true,true,true,true,reading_tests_sveitarfelag_harmonized.csv,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,"Reading fields use vor naer_lagmarksvidmidi_2_3 with explicit source-component aggregation. Latest_available uses the latest non-missing year per municipality. Spending is 2024 Samband municipality-level grunnskóli spending; population_age_6_15 is a population proxy, not exact school enrollment."
Svalbarðsstrandarhreppur,vor,naer_lagmarksvidmidi_2_3,2024-2025,82.0,1,1,direct_source_municipality_value,Direct source municipality value for Svalbarðsstrandarhreppur.,2024-2025,82.0,1,1,direct_source_municipality_value,Direct source municipality value for Svalbarðsstrandarhreppur.,2024-2025,82.0,2024,kostnadur_netto,257758470,4225548.69,524966.33,4091404.29,491,63,61,257758470,4225548.69,524966.33,4091404.29,259217575,4249468.44,527938.03,4114564.68,true,true,true,true,true,true,reading_tests_sveitarfelag_harmonized.csv,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,"Reading fields use vor naer_lagmarksvidmidi_2_3 with explicit source-component aggregation. Latest_available uses the latest non-missing year per municipality. Spending is 2024 Samband municipality-level grunnskóli spending; population_age_6_15 is a population proxy, not exact school enrollment."
Sveitarfélagið Hornafjörður,vor,naer_lagmarksvidmidi_2_3,2024-2025,78.0,1,1,direct_source_municipality_value,Direct source municipality value for Sveitarfélagið Hornafjörður.,2024-2025,78.0,1,1,direct_source_municipality_value,Direct source municipality value for Sveitarfélagið Hornafjörður.,2024-2025,78.0,2024,kostnadur_netto,785326131,3179458.02,315772.47,3166637.62,2487,248,247,785326131,3179458.02,315772.47,3166637.62,787916954,3189947.18,316814.22,3177084.49,true,true,true,true,true,true,reading_tests_sveitarfelag_harmonized.csv,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,"Reading fields use vor naer_lagmarksvidmidi_2_3 with explicit source-component aggregation. Latest_available uses the latest non-missing year per municipality. Spending is 2024 Samband municipality-level grunnskóli spending; population_age_6_15 is a population proxy, not exact school enrollment."
Sveitarfélagið Skagaströnd,vor,naer_lagmarksvidmidi_2_3,2024-2025,,1,0,direct_source_municipality_value,Source municipality Sveitarfélagið Skagaströnd has no non-missing value for 2024-2025.,2022-2023,64.0,1,1,direct_source_municipality_value,Direct source municipality value for Sveitarfélagið Skagaströnd.,2022-2023,64.0,2024,kostnadur_netto,233758200,3596280.0,511505.91,4030313.79,457,58,65,233758200,3596280.0,511505.91,4030313.79,266416848,4098720.74,582969.03,4593393.93,false,true,true,true,true,true,reading_tests_sveitarfelag_harmonized.csv,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,"Reading fields use vor naer_lagmarksvidmidi_2_3 with explicit source-component aggregation. Latest_available uses the latest non-missing year per municipality. Spending is 2024 Samband municipality-level grunnskóli spending; population_age_6_15 is a population proxy, not exact school enrollment."
Sveitarfélagið Stykkishólmur,vor,naer_lagmarksvidmidi_2_3,2024-2025,64.0,1,1,direct_source_municipality_value,Direct source municipality value for Stykkishólmsbær.,2024-2025,64.0,1,1,direct_source_municipality_value,Direct source municipality value for Stykkishólmsbær.,2024-2025,64.0,2024,kostnadur_netto,524983374,2982860.08,414678.81,3034585.98,1266,173,176,524983374,2982860.08,414678.81,3034585.98,568241642,3228645.69,448848.06,3284633.77,true,true,true,true,true,true,reading_tests_sveitarfelag_harmonized.csv,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,"Reading fields use vor naer_lagmarksvidmidi_2_3 with explicit source-component aggregation. Latest_available uses the latest non-missing year per municipality. Spending is 2024 Samband municipality-level grunnskóli spending; population_age_6_15 is a population proxy, not exact school enrollment."
Sveitarfélagið Vogar,vor,naer_lagmarksvidmidi_2_3,2024-2025,62.0,1,1,direct_source_municipality_value,Direct source municipality value for Sveitarfélagið Vogar.,2024-2025,62.0,1,1,direct_source_municipality_value,Direct source municipality value for Sveitarfélagið Vogar.,2024-2025,62.0,2024,kostnadur_netto,597634091,2741440.78,398422.73,3248011.36,1500,184,218,597634091,2741440.78,398422.73,3248011.36,600487112,2754528.04,400324.74,3263516.91,true,true,true,true,true,true,reading_tests_sveitarfelag_harmonized.csv,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,"Reading fields use vor naer_lagmarksvidmidi_2_3 with explicit source-component aggregation. Latest_available uses the latest non-missing year per municipality. Spending is 2024 Samband municipality-level grunnskóli spending; population_age_6_15 is a population proxy, not exact school enrollment."
Sveitarfélagið Árborg,vor,naer_lagmarksvidmidi_2_3,2024-2025,70.0,1,1,direct_source_municipality_value,Direct source municipality value for Sveitarfélagið Árborg.,2024-2025,70.0,1,1,direct_source_municipality_value,Direct source municipality value for Sveitarfélagið Árborg.,2024-2025,70.0,2024,kostnadur_netto,4832954562,3024377.07,417894.9,2994395.64,11565,1614,1598,4832954562,3024377.07,417894.9,2994395.64,5351250828,3348717.66,462710.84,3315520.96,true,true,true,true,true,true,reading_tests_sveitarfelag_harmonized.csv,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,"Reading fields use vor naer_lagmarksvidmidi_2_3 with explicit source-component aggregation. Latest_available uses the latest non-missing year per municipality. Spending is 2024 Samband municipality-level grunnskóli spending; population_age_6_15 is a population proxy, not exact school enrollment."
Sveitarfélagið Ölfus,vor,naer_lagmarksvidmidi_2_3,2024-2025,77.0,1,1,direct_source_municipality_value,Direct source municipality value for Sveitarfélagið Ölfus.,2024-2025,77.0,1,1,direct_source_municipality_value,Direct source municipality value for Sveitarfélagið Ölfus.,2024-2025,77.0,2024,kostnadur_netto,753849916,2812872.82,286526.0,2378075.44,2631,317,268,753849916,2812872.82,286526.0,2378075.44,790301947,2948887.86,300380.82,2493066.08,true,true,true,true,true,true,reading_tests_sveitarfelag_harmonized.csv,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,"Reading fields use vor naer_lagmarksvidmidi_2_3 with explicit source-component aggregation. Latest_available uses the latest non-missing year per municipality. Spending is 2024 Samband municipality-level grunnskóli spending; population_age_6_15 is a population proxy, not exact school enrollment."
Súðavíkurhreppur,vor,naer_lagmarksvidmidi_2_3,,,,,,,,,,,,,,,2024,kostnadur_netto,67551384,5629282.0,308453.81,5196260.31,219,13,12,67551384,5629282.0,308453.81,5196260.31,69812755,5817729.58,318779.7,5370211.92,false,false,false,true,true,true,,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,"Reading fields use vor naer_lagmarksvidmidi_2_3 with explicit source-component aggregation. Latest_available uses the latest non-missing year per municipality. Spending is 2024 Samband municipality-level grunnskóli spending; population_age_6_15 is a population proxy, not exact school enrollment."
Vestmannaeyjabær,vor,naer_lagmarksvidmidi_2_3,2024-2025,80.0,1,1,direct_source_municipality_value,Direct source municipality value for Vestmannaeyjabær.,2024-2025,80.0,1,1,direct_source_municipality_value,Direct source municipality value for Vestmannaeyjabær.,2024-2025,80.0,2024,kostnadur_netto,1403567138,2599198.4,315834.19,2551940.25,4444,550,540,1403567138,2599198.4,315834.19,2551940.25,1449856255,2684918.99,326250.28,2636102.28,true,true,true,true,true,true,reading_tests_sveitarfelag_harmonized.csv,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,"Reading fields use vor naer_lagmarksvidmidi_2_3 with explicit source-component aggregation. Latest_available uses the latest non-missing year per municipality. Spending is 2024 Samband municipality-level grunnskóli spending; population_age_6_15 is a population proxy, not exact school enrollment."
Vesturbyggð,vor,naer_lagmarksvidmidi_2_3,2024-2025,,1,0,direct_source_municipality_value,Source municipality Vesturbyggð has no non-missing value for 2024-2025.,2023-2024,52.0,1,1,direct_source_municipality_value,Direct source municipality value for Vesturbyggð.,2023-2024,52.0,2024,kostnadur_netto,523969359,3939619.24,386408.08,3540333.51,1356,148,133,523969359,3939619.24,386408.08,3540333.51,537755775,4043276.5,396575.06,3633484.97,false,true,true,true,true,true,reading_tests_sveitarfelag_harmonized.csv,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,"Reading fields use vor naer_lagmarksvidmidi_2_3 with explicit source-component aggregation. Latest_available uses the latest non-missing year per municipality. Spending is 2024 Samband municipality-level grunnskóli spending; population_age_6_15 is a population proxy, not exact school enrollment."
Vopnafjarðarhreppur,vor,naer_lagmarksvidmidi_2_3,2024-2025,76.0,1,1,direct_source_municipality_value,Direct source municipality value for Vopnafjarðarhreppur.,2024-2025,76.0,1,1,direct_source_municipality_value,Direct source municipality value for Vopnafjarðarhreppur.,2024-2025,76.0,2024,kostnadur_netto,332426491,4492249.88,511425.37,4553787.55,650,73,74,332426491,4492249.88,511425.37,4553787.55,341562785,4615713.31,525481.21,4678942.26,true,true,true,true,true,true,reading_tests_sveitarfelag_harmonized.csv,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,"Reading fields use vor naer_lagmarksvidmidi_2_3 with explicit source-component aggregation. Latest_available uses the latest non-missing year per municipality. Spending is 2024 Samband municipality-level grunnskóli spending; population_age_6_15 is a population proxy, not exact school enrollment."
Ísafjarðarbær,vor,naer_lagmarksvidmidi_2_3,2024-2025,71.0,1,1,direct_source_municipality_value,Direct source municipality value for Ísafjarðarbær.,2024-2025,71.0,1,1,direct_source_municipality_value,Direct source municipality value for Ísafjarðarbær.,2024-2025,71.0,2024,kostnadur_netto,1335958486,2771698.1,351845.8,2760244.81,3797,484,482,1335958486,2771698.1,351845.8,2760244.81,1422321811,2950875.13,374590.94,2938681.43,true,true,true,true,true,true,reading_tests_sveitarfelag_harmonized.csv,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,"Reading fields use vor naer_lagmarksvidmidi_2_3 with explicit source-component aggregation. Latest_available uses the latest non-missing year per municipality. Spending is 2024 Samband municipality-level grunnskóli spending; population_age_6_15 is a population proxy, not exact school enrollment."
Þingeyjarsveit,vor,naer_lagmarksvidmidi_2_3,2024-2025,76.0,1,1,direct_source_municipality_value,Direct source municipality value for Þingeyjarsveit.,2024-2025,76.0,1,1,direct_source_municipality_value,Direct source municipality value for Þingeyjarsveit.,2024-2025,76.0,2024,kostnadur_netto,900420396,6296646.13,638596.03,6209795.83,1410,145,143,900420396,6296646.13,638596.03,6209795.83,949668322,6641037.22,673523.63,6549436.7,true,true,true,true,true,true,reading_tests_sveitarfelag_harmonized.csv,https://samband-islenskra-sveitarfelaga.cdn.prismic.io/samband-islenskra-sveitarfelaga/aUpSiHNYClf9omZZ_Reksturgrunnsk%C3%B3laeftirst%C3%A6r%C3%B0sk%C3%B3la2024.xlsx,"Reading fields use vor naer_lagmarksvidmidi_2_3 with explicit source-component aggregation. Latest_available uses the latest non-missing year per municipality. Spending is 2024 Samband municipality-level grunnskóli spending; population_age_6_15 is a population proxy, not exact school enrollment."
